nick_name,comment
BaoMiranda,oli oli seño
BaoMiranda,aquí luchando contra la pobreza. jejejeje
Jose G | Developer,hola
Jose G | Developer,yo de Guayaquil
Djbraun,Saludos
Jose G | Developer,estás trabajando?
